Nodes,Scenario,Time,Probability
2,12,6.787497965494792,0.05
3,12,,0.05
4,12,,0.05
5,12,,0.05
6,12,,0.05
7,12,,0.05
8,12,,0.05
9,12,,0.05
10,12,16.726413981119798,0.05
11,12,,0.05
12,12,,0.05
13,12,,0.05
14,12,,0.05
15,12,,0.05
16,12,,0.05
17,12,,0.05
18,12,,0.05
19,12,,0.05
20,12,,0.05
21,12,,0.05
22,12,,0.05
23,12,,0.05
24,12,,0.05
25,12,,0.05
26,12,,0.05
1,13,,0.05
2,13,,0.05
3,13,,0.05
4,13,,0.05
5,13,,0.05
6,13,,0.05
7,13,,0.05
8,13,10.676929728190103,0.05
9,13,,0.05
10,13,,0.05
11,13,,0.05
12,13,,0.05
13,13,,0.05
14,13,,0.05
15,13,,0.05
16,13,,0.05
17,13,,0.05
18,13,,0.05
19,13,,0.05
20,13,,0.05
21,13,,0.05
22,13,,0.05
23,13,,0.05
24,13,,0.05
25,13,,0.05
26,13,,0.05
1,14,,0.05
2,14,6.124542236328125,0.05
3,14,,0.05
4,14,,0.05
5,14,,0.05
6,14,,0.05
7,14,,0.05
8,14,,0.05
9,14,,0.05
10,14,19.529052734375,0.05
11,14,,0.05
12,14,,0.05
13,14,,0.05
14,14,,0.05
15,14,,0.05
16,14,,0.05
17,14,,0.05
18,14,,0.05
19,14,,0.05
20,14,,0.05
21,14,,0.05
22,14,,0.05
23,14,,0.05
24,14,,0.05
25,14,,0.05
26,14,,0.05
1,15,,0.05
2,15,,0.05
3,15,,0.05
4,15,,0.05
5,15,,0.05
6,15,,0.05
7,15,,0.05
8,15,,0.05
9,15,,0.05
10,15,,0.05
11,15,0.5,0.05
12,15,,0.05
13,15,,0.05
14,15,,0.05
15,15,,0.05
16,15,,0.05
17,15,,0.05
18,15,,0.05
19,15,,0.05
20,15,,0.05
21,15,,0.05
22,15,,0.05
23,15,,0.05
24,15,,0.05
25,15,,0.05
26,15,,0.05
1,16,,0.05
2,16,,0.05
3,16,,0.05
4,16,6.467034912109375,0.05
5,16,,0.05
6,16,,0.05
7,16,,0.05
8,16,,0.05
9,16,,0.05
10,16,8.373485310872397,0.05
11,16,0.5,0.05
12,16,,0.05
13,16,,0.05
14,16,,0.05
15,16,,0.05
16,16,,0.05
17,16,,0.05
18,16,,0.05
19,16,,0.05
20,16,,0.05
21,16,,0.05
22,16,,0.05
23,16,,0.05
24,16,,0.05
25,16,,0.05
26,16,,0.05
1,17,,0.05
2,17,,0.05
3,17,,0.05
4,17,,0.05
5,17,,0.05
6,17,10.672367350260416,0.05
7,17,20.662872314453132,0.05
8,17,,0.05
9,17,,0.05
10,17,,0.05
11,17,,0.05
12,17,,0.05
13,17,,0.05
